title,release_year,vote_count_max,vote_average_prom
Mac and Me,1988,44.0,4.0
MacArthur,1977,24.0,6.4
MacGruber,2010,184.0,5.1
MacGyver: Lost Treasure of Atlantis,1994,19.0,5.6
MacGyver: Trail to Doomsday,1994,15.0,5.5
Macabre,1958,7.0,6.1
Macabre,1980,17.0,6.0
Macabre,2009,19.0,6.4
Macadam Stories,2015,35.0,6.1
Macao,1952,8.0,5.6
Macario,1960,9.0,7.3
Macaroni,1985,9.0,6.1
Macbeth,1948,21.0,6.7
Macbeth,1982,1.0,10.0
Macbeth,1983,2.0,5.8
Macbeth,2006,11.0,3.9
Macbeth,2010,9.0,6.9
Macbeth,2015,497.0,6.4
Macheads,2009,4.0,5.5
Machete,2010,1171.0,6.3
Machete Kills,2013,642.0,5.3
Machete Maidens Unleashed!,2010,18.0,6.9
Machine Gun McCain,1969,6.0,7.3
Machine Gun Preacher,2011,292.0,6.4
Machine-Gun Kelly,1958,8.0,6.6
Machines,2017,0.0,0.0
Machuca,2004,37.0,7.5
Mackenna's Gold,1969,44.0,6.4
Macon County Line,1974,4.0,7.6
Macondo,2014,1.0,5.0
Macropolis,2012,0.0,0.0
Macross Frontier: The Wings of Goodbye,2011,3.0,5.8
Macross Plus: Movie Edition,1995,26.0,7.2
Mad About Mambo,2000,7.0,4.6
Mad About Men,1954,5.0,5.8
Mad As Hell,2014,1.0,10.0
Mad Bastards,2010,2.0,6.3
Mad City,1997,81.0,5.9
Mad Detective,2007,45.0,7.0
Mad Doctor of Blood Island,1969,5.0,4.1
Mad Dog Coll,1961,1.0,6.0
Mad Dog Morgan,1976,8.0,5.9
Mad Dog Time,1996,12.0,6.2
Mad Dog and Glory,1993,78.0,5.5
Mad Families,2017,10.0,3.5
Mad Foxes,1981,10.0,6.2
Mad Hot Ballroom,2005,8.0,7.2
Mad Love,1921,1.0,8.0
Mad Love,1935,25.0,6.8
Mad Love,1985,7.0,7.0
Mad Love,1995,27.0,5.5
Mad Love,2001,6.0,5.2
Mad Max,1979,1235.0,6.6
Mad Max 2: The Road Warrior,1981,981.0,7.3
Mad Max Beyond Thunderdome,1985,765.0,5.9
Mad Max: Fury Road,2015,9629.0,7.3
Mad Money,2008,146.0,5.9
Mad Monster Party?,1967,15.0,6.1
Mad Ron's Prevues from Hell,1987,5.0,4.1
Mad Ship,2012,1.0,7.0
Mad Tiger,2015,0.0,0.0
Mad at the Moon,1992,1.0,10.0
MadHouse,1990,18.0,5.7
Madaari,2016,11.0,7.9
Madadayo,1993,21.0,7.4
Madagascar,2005,3322.0,6.6
Madagascar,2011,4.0,8.6
Madagascar 3: Europe's Most Wanted,2012,1857.0,6.4
Madagascar Skin,1995,0.0,0.0
Madagascar: Escape 2 Africa,2008,1866.0,6.2
Madalena,1960,2.0,6.0
Madam Satan,1930,6.0,3.8
Madame Bovary,1949,7.0,6.3
Madame Bovary,1991,19.0,6.6
Madame Bovary,2000,2.0,4.0
Madame Bovary,2015,85.0,5.3
Madame Butterfly,1995,3.0,4.8
Madame Curie,1943,10.0,6.7
Madame Rosa,1977,3.0,7.3
Madame Satã,2002,9.0,5.6
Madame Sin,1972,2.0,8.0
Madame Sousatzka,1988,7.0,5.4
Madame Tutli-Putli,2007,24.0,7.3
Maddalena... zero in condotta,1940,3.0,5.7
Made,2001,55.0,6.3
Made For Each Other,1971,1.0,6.0
Made In Paris,1966,0.0,0.0
Made for Each Other,1939,7.0,4.9
Made in America,1993,86.0,5.3
Made in Bangkok,2015,0.0,0.0
Made in Britain,1982,19.0,6.4
Made in Dagenham,2010,94.0,6.6
Made in France,2015,59.0,6.5
Made in Heaven,1987,16.0,6.6
Made in Hong Kong,1997,11.0,6.7
Made in Hungaria,2009,3.0,7.2
Made in Jamaica,2006,1.0,6.0
Made in Mexico,2012,4.0,5.8
Made in Romania,2010,2.0,4.8
Made in U.S.A,1966,16.0,6.5
Made of Honor,2008,410.0,6.0
Madea Goes to Jail,2009,52.0,6.4
Madea's Big Happy Family,2011,51.0,6.7
Madea's Family Reunion,2006,77.0,6.0
Madea's Witness Protection,2012,53.0,5.8
Madeinusa,2006,6.0,6.0
Madeleine,1950,3.0,6.8
Madeline,1998,46.0,5.1
Madeline: Lost in Paris,1999,1.0,6.0
Mademoiselle,1966,7.0,7.3
Mademoiselle,2001,3.0,5.8
Mademoiselle C,2013,7.0,5.9
Mademoiselle Chambon,2009,19.0,6.5
Mademoiselle Fifi,1944,3.0,4.7
Mademoiselle de Maupin,1966,3.0,6.0
Madhoshi,2004,2.0,5.0
Madhouse,1974,21.0,6.0
Madhouse,1981,9.0,6.4
Madhouse,2004,40.0,5.6
Madicken of June Hill,1980,5.0,5.5
Madigan,1968,13.0,5.6
Madison,2001,3.0,5.3
Madison Avenue,1962,0.0,0.0
Madison County,2012,14.0,3.3
Madly Madagascar,2013,39.0,5.9
Madly in Love,1981,42.0,6.8
Madman,1982,32.0,5.7
Madman at War,1985,4.0,5.3
Madonna che silenzio c'è stasera,1982,3.0,6.0
Madonna of the Seven Moons,1945,5.0,5.8
Madonna's Pig,2011,1.0,2.0
Madonna: Truth or Dare,1991,32.0,6.3
Madras Cafe,2013,32.0,6.9
"Madrid, 1987",2011,15.0,6.3
Maelström,2000,18.0,6.3
Mafalda - La Pelicula,1981,3.0,5.0
Mafioso,1962,6.0,6.8
Magadheera,2009,23.0,7.2
Magallanes,2015,1.0,9.0
Maggie,2015,604.0,5.2
Maggie Simpson in The Longest Daycare,2012,87.0,6.8
Maggie's Plan,2016,129.0,5.7
Magic,1978,59.0,7.0
Magic & Bird: A Courtship of Rivals,2010,6.0,8.3
Magic Beyond Words: The JK Rowling Story,2011,42.0,7.4
Magic Boy,1959,2.0,7.0
Magic Camp,2012,3.0,7.0
Magic Christmas Tree,1964,0.0,0.0
Magic Hunter,1994,1.0,6.0
Magic Kid,1993,4.0,4.5
Magic Magic,2013,79.0,5.2
Magic Man,2009,4.0,2.5
Magic Mike,2012,1062.0,6.1
Magic Mike XXL,2015,716.0,6.2
Magic Town,1947,5.0,6.4
Magic Trip,2011,9.0,6.6
Magic in the Moonlight,2014,749.0,6.5
Magic in the Water,1995,11.0,5.3
Magical Girl,2014,47.0,7.6
Magical Mystery Tour,1967,28.0,5.8
Magical Universe,2014,4.0,6.3
Magician Mickey,1937,8.0,6.4
Magician: The Astonishing Life and Work of Orson Welles,2014,17.0,6.9
Magicians,1982,10.0,6.2
Magicians,2007,25.0,6.2
Magicians: Life in the Impossible,2016,7.0,6.6
Magnetic Rose,1995,11.0,7.9
Magnificat,1993,1.0,5.0
Magnificent 7,2005,1.0,7.0
Magnificent Bodyguards,1978,3.0,7.0
Magnificent Doll,1946,2.0,5.8
Magnificent Obsession,1935,1.0,8.0
Magnificent Obsession,1954,27.0,6.9
Magnificent Presence,2012,63.0,6.6
Magnificent Warriors,1987,9.0,6.3
Magnolia,1999,844.0,7.5
Magnum Cop,1978,2.0,4.5
Magnum Force,1973,251.0,7.1
Magnus,2007,5.0,5.8
Magnus,2016,13.0,7.2
Magyar vándor,2004,5.0,5.6
Mahana,2016,7.0,5.7
Maharathi,2008,1.0,7.0
Maheshinte Prathikaaram,2016,9.0,7.7
Mahjong,1996,3.0,8.3
Mahler,1974,11.0,5.7
Mahler on the Couch,2010,3.0,7.7
Mahogany,1975,6.0,6.3
Mahoney's Last Stand,1972,2.0,5.3
Mai Stati Uniti,2012,61.0,5.8
Maicol Jecson,2014,0.0,0.0
Maid in Manhattan,2002,493.0,5.6
Maid in Sweden,1971,8.0,4.2
Maid of Salem,1937,2.0,3.3
Maid to Order,1987,17.0,5.2
Maidan,2014,3.0,10.0
Maidentrip,2014,27.0,7.4
Maidstone,1970,1.0,5.0
Maigret Lays a Trap,1958,5.0,6.2
Maigret Sets a Trap,2016,26.0,6.9
Maigret's Dead Man,2016,25.0,6.7
Maigrets Night at the Crossroads,2017,6.0,7.0
Maiko Haaaan!!!,2007,2.0,6.5
Mail Early for Xmas,1959,2.0,4.5
Mail Order Bride,1964,0.0,0.0
Mail Order Bride,2003,3.0,2.8
Main Hoon Na,2004,60.0,7.1
Main Khiladi Tu Anari,1994,5.0,6.0
Main Prem Ki Diwani Hoon,2003,7.0,4.4
Main Street,1956,8.0,7.9
Main Street,2010,17.0,3.5
Maine Dil Tujhko Diya,2002,1.0,5.0
Maine Pyaar Kyun Kiya,2005,7.0,4.4
Maine Pyar Kiya,1989,11.0,7.0
Mais Uma Vez Amor,2005,0.0,0.0
Mais qui a tué Pamela Rose ?,2003,62.0,6.6
Majesty,2010,1.0,6.0
Major Barbara,1941,4.0,6.8
Major Dundee,1965,41.0,6.2
Major Grom,2017,14.0,6.6
Major League,1989,222.0,6.7
Major League II,1994,83.0,5.2
Major League: Back to the Minors,1998,20.0,4.3
Major Payne,1995,164.0,6.1
Majority,2010,10.0,6.2
Makdee,2002,4.0,6.0
Make Believe,2011,2.0,6.0
Make It Happen,2008,75.0,5.4
Make Mine Mink,1960,7.0,6.8
Make Mine Music,1946,33.0,5.2
Make Way For A Lady,1936,2.0,5.0
Make Way for Tomorrow,1937,37.0,7.7
Make Your Move,2013,30.0,6.2
Make Your Own Damn Movie,2005,1.0,5.0
Make the Yuletide Gay,2009,25.0,6.1
Make-Out with Violence,2008,6.0,5.7
Makeup Room,2015,0.0,0.0
Making 'Do the Right Thing',1989,0.0,0.0
Making 'The New World',2006,0.0,0.0
Making Contact,1985,9.0,6.3
Making Love,1982,9.0,4.9
Making Mr. Right,1987,8.0,3.8
Making Plans for Lena,2009,11.0,5.5
Making a Killing: The Untold Story of Psychotropic Drugging,2008,1.0,9.0
Making a Living,1914,12.0,5.9
Making the Boys,2011,1.0,0.0
Making the Earth Stand Still,1995,0.0,0.0
Making the Grade,1984,9.0,5.8
Mako: The Jaws of Death,1976,1.0,5.0
Maksim Perepelitsa,1955,6.0,6.7
Maktub,2011,10.0,6.2
Mala Mala,2014,5.0,7.0
Mala Noche,1986,20.0,6.0
Maladies,2013,7.0,5.4
Malady of Love,1987,1.0,5.0
Malamaal Weekly,2006,9.0,4.7
Malarek,1988,0.0,0.0
Malaya,1949,3.0,6.0
Malcolm X,1972,2.0,7.5
Malcolm X,1992,377.0,7.3
Male and Female,1919,1.0,5.0
Maledetto il giorno che t'ho incontrato,1992,28.0,6.4
Maledimiele,2012,7.0,6.7
Maleficent,2014,4607.0,7.0
Malena,2000,301.0,6.9
Mali Blues,2016,0.0,0.0
Malibu Beach,1978,5.0,4.3
Malibu Express,1985,12.0,4.9
Malibu High,1979,5.0,5.2
Malibu Hot Summer,1981,3.0,2.7
Malibu Shark Attack,2009,17.0,3.8
Malibu's Most Wanted,2003,77.0,4.7
Malice,1993,105.0,5.9
Malice in Wonderland,2009,20.0,5.6
Malice@Doll,2004,3.0,4.7
Malicious,1973,21.0,6.0
Malicious,1995,7.0,5.7
Mall,2014,27.0,4.8
Mall Girls,2009,7.0,5.4
Mallrats,1995,400.0,6.8
Malone,1987,15.0,6.8
Malta G.C.,1942,0.0,0.0
Malta Story,1953,4.0,5.0
Maléfique,2002,30.0,6.1
Mama,1976,7.0,5.8
Mama,2013,1452.0,6.0
Mama's Boy,2007,24.0,4.4
Mama's Dirty Girls,1974,0.0,0.0
Mamaboy,2017,1.0,1.0
Mamay,2003,3.0,5.8
Mambo Italiano,2003,28.0,5.6
Mamitas,2012,3.0,6.3
Mamma Mia!,2008,1435.0,6.4
Mamma Roma,1962,45.0,7.5
Mammal,2016,1.0,10.0
Mammoth,2006,13.0,3.6
Mammoth,2009,41.0,6.1
Mammuth,2010,35.0,5.9
Mammy,1930,1.0,0.0
Man - Woman Wanted,1973,5.0,7.2
Man About Town,2006,46.0,5.3
Man Alive,1945,1.0,5.5
Man Bites Dog,1992,194.0,7.2
Man Down,2016,65.0,6.3
Man Exposed,2006,6.0,6.0
Man Facing Southeast,1986,12.0,7.1
Man Follows Birds,1976,1.0,5.0
Man Friday,1975,6.0,6.3
Man Hunt,1941,31.0,6.8
Man Is Not a Bird,1965,5.0,6.5
Man Made Monster,1941,4.0,7.8
Man Maid,2009,1.0,7.0
Man Of The Century,1999,0.0,0.0
Man On a Mission: Richard Garriott's Road to the Stars,2010,1.0,5.0
Man Push Cart,2005,13.0,7.0
Man Trouble,1992,11.0,4.7
Man Up,2015,395.0,6.5
Man Vs.,2015,12.0,5.4
Man Walking Around a Corner,1887,17.0,4.1
Man Wanted,1932,1.0,6.0
Man Without a Memory,1974,6.0,5.9
Man Without a Star,1955,14.0,6.4
Man at Bath,2010,10.0,5.4
Man for a Day,2012,4.0,6.9
Man from Deep River,1972,17.0,5.7
Man from Del Rio,1956,4.0,7.1
Man from Reno,2015,15.0,6.1
Man in the Attic,1953,7.0,4.9
Man in the Chair,2007,4.0,5.3
Man in the Middle,1963,5.0,6.6
Man in the Mirror: The Michael Jackson Story,2004,3.0,5.0
Man in the Saddle,1951,4.0,5.6
Man in the Wilderness,1971,36.0,6.1
Man of Aran,1934,7.0,7.0
Man of Her Dreams,1997,0.0,0.0
Man of Iron,1981,15.0,6.1
Man of La Mancha,1972,15.0,6.7
Man of Marble,1977,16.0,5.8
Man of Steel,2013,6462.0,6.5
Man of Tai Chi,2013,295.0,5.8
Man of Vendetta,2010,12.0,6.0
Man of a Thousand Faces,1957,6.0,6.2
Man of the East,1972,33.0,6.7
Man of the Forest,1933,0.0,0.0
Man of the House,1995,40.0,5.1
Man of the House,2005,121.0,5.4
Man of the Moment,1935,0.0,0.0
Man of the Moment,1955,3.0,4.8
Man of the Story,1996,1.0,5.0
Man of the West,1958,27.0,6.1
Man of the World,1931,3.0,4.3
Man of the Year,1995,2.0,3.8
Man of the Year,2006,129.0,5.8
Man on Fire,1987,14.0,6.2
Man on Fire,2004,1583.0,7.3
Man on High Heels,2014,22.0,6.7
Man on Horseback,1969,1.0,5.0
Man on Wire,2008,282.0,7.5
Man on a Ledge,2012,936.0,6.2
Man on a Tightrope,1953,6.0,5.3
Man on the Flying Trapeze,1935,2.0,4.0
Man on the Moon,1999,444.0,6.9
Man on the Tracks,1957,4.0,5.4
Man on the Train,2002,25.0,6.9
Man to Man,2005,8.0,7.1
Man van staal,1999,1.0,6.5
Man vs. Snake,2015,26.0,7.0
Man with a Movie Camera,1929,114.0,8.1
Man with the Gun,1955,11.0,5.8
Man with the Screaming Brain,2005,32.0,5.3
Man's Best Friend,1993,26.0,5.5
Man's Castle,1933,4.0,6.0
Man's Favorite Sport?,1964,23.0,5.8
Man's Job,2007,7.0,7.0
"Man, Woman & the Wall",2006,7.0,6.9
"Man, Woman and Beast",1977,3.0,4.0
Man-Proof,1938,1.0,6.0
Man-Thing,2005,38.0,4.0
Management,2009,102.0,5.5
Manakamana,2013,12.0,7.1
Manam,2014,12.0,7.8
Manborg,2011,24.0,5.0
Manchester by the Sea,2016,1553.0,7.5
Manda Bala (Send a Bullet),2007,5.0,5.4
Mandalay,1934,2.0,6.0
Mandela,1996,7.0,6.1
Mandela: Long Walk to Freedom,2013,225.0,6.5
Manderlay,2005,81.0,6.9
Mandingo,1975,22.0,6.0
Mandragora,1997,7.0,6.0
Mandrake,2010,12.0,2.9
Mandroid,1993,6.0,4.6
Mandıra Filozofu,2014,7.0,5.9
Manglehorn,2015,68.0,5.2
Manhattan,1979,600.0,7.8
Manhattan Baby,1982,11.0,5.4
Manhattan Melodrama,1934,19.0,6.3
Manhattan Murder Mystery,1993,169.0,7.1
Manhattan Night,2016,115.0,6.1
Manhattan Romance,2015,10.0,5.3
Manhole,2014,12.0,6.4
Manhunt,1976,3.0,6.2
Manhunt,2008,24.0,5.3
Manhunt in Space,1956,1.0,1.0
Manhunt in the City,1975,1.0,6.0
Manhunt: The Inside Story of the Hunt for Bin Laden,2013,4.0,6.3
Manhunter,1986,340.0,6.8
Maniac,1934,13.0,4.1
Maniac,1963,5.0,6.4
Maniac,1980,77.0,6.1
Maniac,2012,322.0,5.9
Maniac Cop,1988,87.0,5.7
Maniac Cop 2,1990,42.0,5.3
Maniac Cop 3: Badge of Silence,1993,21.0,5.0
Maniacts,2001,2.0,6.5
Manic,2001,32.0,7.2
Manichitrathazhu,1993,9.0,7.4
Manifesto,2017,4.0,8.0
Manito,2002,2.0,5.5
Manitou's Shoe,2001,145.0,6.7
Manjhi The Mountain Man,2015,16.0,6.8
Mankatha,2011,14.0,5.6
Mankillers,1987,4.0,5.5
Mannequin,1937,3.0,4.7
Mannequin,1987,130.0,5.5
Mannequin Two: On the Move,1991,28.0,4.6
Manny,2014,40.0,6.4
Manny & Lo,1996,9.0,6.3
Manolito Four Eyes,1999,8.0,5.4
Manoman,2015,1.0,7.0
Manon,1949,8.0,8.0
Manon of the Spring,1952,4.0,6.9
Manon of the Spring,1986,103.0,7.8
Manos sucias,2014,5.0,7.0
Manos: The Hands of Fate,1966,56.0,2.0
Manrape,1978,0.0,0.0
Mansfield Park,1999,81.0,6.7
Mansfield Park,2007,29.0,5.6
Manshin: Ten Thousand Spirits,2014,0.0,0.0
Mansion of the Doomed,1976,5.0,6.8
Manslaughter,1922,1.0,6.0
Manslaughter,2005,10.0,6.2
Mansome,2012,38.0,4.8
Manson,1973,5.0,5.9
Manson Family Vacation,2015,19.0,5.6
Manson's Lost Girls,2016,1.0,5.0
"Manson, My Name Is Evil",2009,7.0,4.7
Mansquito,2005,8.0,4.8
Manta - Der Film,1991,9.0,3.9
"Manta, Manta",1991,26.0,4.9
Mantervention,2014,12.0,5.5
Mantis in Lace,1968,2.0,4.0
Mantle,2005,0.0,0.0
Mantrap,1926,1.0,5.0
Manual of Love 2,2007,61.0,5.1
Manuel on the Island of Wonders,1984,0.0,0.0
Manufactured Landscapes,2006,13.0,7.3
Manufacturing Consent: Noam Chomsky and the Media,1992,21.0,7.6
Manufacturing Dissent,2007,6.0,4.5
Manufractur,1985,5.0,7.2
Manuscripts Don't Burn,2013,8.0,6.1
Many Rivers to Cross,1955,2.0,6.0
Many Wars Ago,1970,19.0,7.3
Mao's Last Dancer,2009,29.0,6.8
Map of the Human Heart,1993,13.0,6.7
Map of the Sounds of Tokyo,2009,15.0,5.8
Mapplethorpe: Look at the Pictures,2016,11.0,7.7
Maps to the Stars,2014,398.0,5.8
Maqbool,2003,5.0,7.6
Mara and the Firebringer,2015,13.0,5.5
Maradona by Kusturica,2008,18.0,5.8
"Maradona, the Hand of God",2007,7.0,5.6
Marat/Sade,1967,7.0,5.9
Marathon,2002,0.0,0.0
Marathon,2005,10.0,7.0
Marathon Boy,2010,2.0,7.5
Marathon Man,1976,227.0,7.2
Marathon: The Patriots Day Bombing,2016,7.0,6.6
Marauders,2016,148.0,5.9
Marc Maron: More Later,2015,5.0,8.1
Marc Maron: Thinky Pain,2013,11.0,7.8
Marcel Reich-Ranicki - Mein Leben,2009,4.0,5.6
Marcello Marcello,2008,5.0,5.5
Marcello Mastroianni: I Remember,1997,2.0,5.5
March of the Penguins,2005,371.0,6.9
March or Die,1977,16.0,6.2
Marching to Zion,2015,4.0,4.5
Marci X,2003,12.0,3.3
Marco Polo,2007,5.0,5.2
Marco Polo: One Hundred Eyes,2015,33.0,7.1
Mardaani,2014,21.0,7.0
Mardi Gras: Spring Break,2011,34.0,4.5
Mardock Scramble: The First Compression,2010,23.0,7.1
Mardock Scramble: The Second Combustion,2011,17.0,6.4
Mare Nostrum,1926,1.0,5.0
Marfa Girl,2012,11.0,5.4
Margaret,2009,0.0,0.0
Margaret,2011,86.0,6.1
Margaret Cho: Assassin,2005,2.0,7.0
Margaret Cho: I'm the One That I Want,2000,3.0,8.7
Margaret Cho: Notorious C.H.O.,2002,2.0,4.0
Margaret Cho: PsyCHO,2015,0.0,0.0
Margaret Thatcher: The Long Walk to Finchley,2008,1.0,7.0
Margaret's Museum,1995,2.0,7.5
Margarita,2012,4.0,6.5
"Margarita, with a Straw",2014,13.0,6.6
Margin Call,2011,531.0,6.7
Margot at the Wedding,2007,74.0,5.9
Marguerite,2015,100.0,6.4
Marguerite & Julien,2015,29.0,5.8
Maria,2003,2.0,8.3
Maria Bamford: Old Baby,2017,5.0,6.4
Maria Bamford: The Special Special Special!,2012,5.0,6.6
Maria Chapdelaine,1934,0.0,0.0
Maria Full of Grace,2004,103.0,6.9
Maria's Lovers,1984,5.0,5.3
"Maria, ihm schmeckt's nicht!",2009,15.0,5.5
Mariachi Gringo,2012,4.0,5.6
Mariage chez les Bodin's,2008,10.0,5.5
Mariage à Mendoza,2013,6.0,5.0
Mariages !,2004,27.0,5.1
Marianne,2011,2.0,5.3
Marianne and Juliane,1981,7.0,6.9
Marianne of My Youth,1955,0.0,0.0
Marie Antoinette,1938,6.0,6.4
Marie Antoinette,2006,662.0,6.5
Marie Curie,2016,5.0,5.8
Marie Kroyer,2012,6.0,5.8
Marie and Bruce,2004,4.0,4.5
Marie from the Bay of Angels,1998,3.0,4.0
Marie's Story,2014,26.0,6.9
Marie-Jo and Her 2 Lovers,2002,3.0,5.7
Marie-Octobre,1959,8.0,6.1
Marihuana,1936,4.0,2.5
Mariken,2000,1.0,4.0
Marilena de la P7,2006,8.0,6.8
Marilyn Hotchkiss' Ballroom Dancing & Charm School,2006,12.0,5.1
Marilyn in Manhattan,1998,1.0,6.5
Marilyn: The Untold Story,1980,1.0,6.5
Marina,2013,32.0,7.0
Marina Abramović: The Artist Is Present,2012,43.0,7.5
Marine Battleground,1963,1.0,5.0
Marine Boy,2009,6.0,6.1
Marion Bridge,2003,6.0,6.2
Marius,1931,9.0,6.6
Marius,2013,31.0,6.2
Marius and Jeannette,1997,7.0,5.9
Mariya,1975,2.0,6.5
Marjoe,1972,6.0,8.5
Marjorie Morningstar,1958,5.0,5.5
Mark Shoots First,1975,0.0,0.0
Mark Strikes Again,1976,0.0,0.0
Mark Twain,2002,7.0,5.9
Mark of the Astro-Zombies,2002,3.0,3.0
Mark of the Devil,1970,21.0,5.8
Mark of the Vampire,1935,27.0,6.1
Mark of the Witch,1970,5.0,5.3
Marked Woman,1937,17.0,7.0
Marked for Death,1990,100.0,5.6
Marked for Murder,1993,0.0,0.0
Marketa Lazarová,1967,32.0,8.0
Markova: Comfort Gay,2000,0.0,0.0
Marlene,1984,4.0,7.3
Marley,2012,107.0,7.5
Marley & Me,2008,1392.0,6.9
Marley & Me: The Puppy Years,2011,37.0,5.3
Marlowe,1969,26.0,6.2
Marmaduke,2010,150.0,5.0
Marnie,1964,233.0,7.2
Marock,2005,10.0,6.1
Marooned,1969,17.0,6.8
Marooned in Iraq,2002,2.0,8.5
Marquis,1989,8.0,5.7
Marquis de Sade: Justine,1969,12.0,5.8
Marrakech Express,1989,22.0,7.3
Marriage Italian Style,1964,59.0,7.8
Marriage Material,2012,2.0,8.0
Marriage Retreat,2011,3.0,5.5
Married Life,2007,38.0,6.1
Married to It,1993,5.0,5.7
Married to the Mob,1988,67.0,5.8
Marry Me,2015,2.0,6.0
Mars,1968,1.0,5.0
Mars,1998,4.0,4.9
Mars,2004,2.0,5.0
Mars,2010,4.0,5.5
Mars Attacks!,1996,1544.0,6.1
Mars Needs Moms,2011,202.0,5.6
Mars Needs Women,1967,5.0,3.4
Mars and April,2012,5.0,6.5
Mars of Destruction,2005,1.0,2.0
Marshland,2014,255.0,7.1
Marta the Pious Woman,1980,4.0,6.0
Martha,1974,8.0,7.6
Martha Marcy May Marlene,2011,278.0,6.7
Martial Arts of Shaolin,1986,14.0,6.8
Martial Club,1981,5.0,5.2
Martial Law,1991,8.0,5.7
Martian Child,2007,79.0,6.8
Martian Successor Nadesico: The Motion Picture - Prince of Darkness,1998,1.0,8.0
Martin,1978,50.0,7.0
Martin & Orloff,2002,4.0,6.0
Martin (Hache),1997,23.0,7.3
Martin Lawrence Doin’ Time,2016,5.0,6.3
Martin Lawrence Live: Runteldat,2002,1.0,5.0
Martin Lawrence: You So Crazy,1994,4.0,4.5
Marty,1955,75.0,7.2
Martyrs,2008,581.0,7.3
Martyrs,2016,70.0,4.7
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,2011,72.0,7.0
Marvel One-Shot: Agent Carter,2013,183.0,7.5
Marvel One-Shot: All Hail the King,2014,102.0,7.0
Marvel One-Shot: Item 47,2012,114.0,6.6
Marvel One-Shot: The Consultant,2011,108.0,6.6
Marvel Studios: Assembling a Universe,2014,44.0,6.6
Marvel Super Hero Adventures: Frost Fight!,2015,5.0,7.1
"Marvel: 75 Years, From Pulp to Pop!",2014,22.0,7.7
Marvellous,2015,38.0,7.3
Marvin Gaye What's going on Life and Death of Marvin Gaye,2005,0.0,0.0
Marvin Hamlisch: What He Did For Love,2013,1.0,10.0
Marvin's Room,1996,130.0,6.6
Marwencol,2010,15.0,6.8
Marx Reloaded,2011,3.0,6.3
Mary,2005,9.0,5.1
"Mary Is Happy, Mary Is Happy.",2013,7.0,7.3
Mary Kom,2014,29.0,7.0
Mary Loss of Soul,2015,2.0,6.0
Mary Pickford: The Muse of the Movies,2008,0.0,0.0
Mary Poppins,1964,1217.0,7.4
"Mary Poppins, Goodbye",1983,7.0,5.1
Mary Reilly,1996,77.0,5.7
Mary Shelley,2018,1.0,0.0
Mary Shelley's Frankenstein,1994,272.0,6.1
Mary Stevens M.D.,1933,2.0,7.0
Mary and Martha,2013,23.0,6.3
Mary and Max,2009,596.0,7.8
Mary and Rhoda,2000,0.0,0.0
Mary of Nazareth,1995,0.0,0.0
Mary of Scotland,1936,8.0,6.6
"Mary, Queen of Scots",1971,12.0,6.7
Maryam,2002,1.0,8.0
María (y los demás),2016,8.0,5.7
María Candelaria,1944,7.0,5.9
Masaan,2015,37.0,6.9
Mascara,1999,1.0,6.0
Mascots,2016,54.0,5.8
Masculin Féminin,1966,66.0,7.6
Mask,1985,106.0,7.0
Mask Maker,2010,11.0,5.5
Masked Avengers,1981,3.0,5.8
Masked and Anonymous,2003,13.0,5.2
Maskeli Beşler İntikam Peşinde,2005,2.0,8.3
Masoom,1983,3.0,4.2
Masquerade,1988,14.0,5.2
Masquerade,2012,35.0,7.4
Masquerade in Vienna,1934,3.0,4.2
Masques,1987,6.0,5.9
Mass Appeal,1984,3.0,7.5
Mass Effect: Paragon Lost,2012,14.0,6.5
Massacre Canyon,1954,0.0,0.0
Massacre Mafia Style,1974,7.0,6.7
Massacre Time,1966,10.0,5.1
Massacre at Central High,1976,7.0,6.3
Massacre in Dinosaur Valley,1985,13.0,5.4
"Massaï, les guerriers de la pluie",2004,2.0,8.5
Massu Engira Maasilamani,2015,12.0,4.9
Mast,1999,3.0,4.3
Master,2016,12.0,7.0
Master Harold... and the Boys,2010,4.0,5.9
Master Minds,1949,0.0,0.0
Master Stroke,1967,0.0,0.0
Master and Commander: The Far Side of the World,2003,808.0,6.9
Master and Tatyana,2015,1.0,9.0
Master of the Flying Guillotine,1976,27.0,5.9
Master of the House,1925,9.0,6.7
Master of the Universe,2013,14.0,6.9
Master of the World,1961,19.0,6.0
"Master, Mistress, Servant",1962,2.0,6.5
"Master, a Building in Copacabana",2002,11.0,6.6
Masterminds,1997,13.0,4.1
Masterminds,2016,600.0,5.6
Masters of the Universe,1987,196.0,5.1
Masti,2004,14.0,6.1
Mastizaade,2016,7.0,3.6
Mata Hari,1931,9.0,6.1
Mata Hari,1985,5.0,3.5
Matador,1986,43.0,6.7
Matango: Attack of the Mushroom People,1963,17.0,6.1
Match,2012,7.0,5.4
Match,2014,16.0,5.6
Match Point,2005,1134.0,7.2
Matching Jack,2010,17.0,6.8
Matchmaker Santa,2012,9.0,5.8
Matchstick Men,2003,515.0,6.9
Mater and the Ghostlight,2006,96.0,6.2
Material Girls,2006,149.0,4.8
Maternal Half-Brothers,1988,0.0,0.0
Matewan,1987,33.0,7.2
Matilda,1978,1.0,3.0
Matilda,1996,892.0,6.9
Matinee,1993,52.0,6.4
Matinée,1977,2.0,6.3
