release_date,title
1950-10-14,"Walk Softly, Stranger"
2012-07-25,360
2004-06-27,Close
1917-08-27,Straight Shooting
1933-02-11,Employees' Entrance
1937-05-12,The Pearls of the Crown
2010-11-25,Suicide Club
2012-05-11,Under African Skies
2012-04-24,Lola Versus
2012-09-07,The Master
1980-10-07,More Wild Wild West
1989-01-01,"John Huston: The Man, the Movies, the Maverick"
2012-09-07,Dredd
1934-11-01,We Live Again
2011-09-01,247°F
2012-09-14,Arbitrage
2012-04-13,Blue Like Jazz
2007-01-01,Manual of Love 2
2009-04-03,The Friends at the Margherita Cafe
1941-03-07,Play Girl
2012-09-07,Detropia
2011-04-07,The Liquidator
2012-01-26,The Chemical Brothers: Don't Think
1966-01-06,Pearls of the Deep
1988-08-03,The Perfect Murder
1979-11-22,The Hamburg Syndrome
1955-10-08,Kismet
2011-09-20,ChromeSkull: Laid to Rest 2
1975-12-10,Rain over Santiago
2002-01-01,Puckoon
2009-10-23,Dolan's Cadillac
1996-06-07,A Pig's Tale
1999-11-26,Nobody Knows Anybody
2012-01-04,Breathless
2012-08-28,Blood Money
2012-09-20,End of Watch
1937-07-21,"High, Wide, and Handsome"
2012-07-28,V/H/S
2010-10-22,Boxing Gym
2004-09-30,Everyone
2012-09-20,The Perks of Being a Wallflower
2012-08-28,The Hunt
2012-07-02,Holy Motors
2012-09-18,Knuckleball!
2011-09-02,Either Way
2010-04-08,The Hunter
2010-04-23,Behind the Burly Q
2012-01-20,Two Rabbits
2012-08-17,Sparkle
2006-01-01,Guilty Hearts
2011-01-24,Thin Ice
2012-03-02,Red Lights
2011-12-27,The Rocky Saga: Going the Distance
2012-09-27,Taken 2
2012-09-14,The Paperboy
1993-06-29,Sam Peckinpah: Man of Iron
2012-01-22,Shut Up and Play the Hits
1934-01-01,The Private Life of Don Juan
1938-01-29,Quadrille
2009-10-09,One Nine Nine Four
2008-12-13,Bleach the Movie: Fade to Black
1988-10-01,The Making of a Legend: Gone with the Wind
2011-09-27,In Passing
1967-02-16,The Crush
2008-11-01,Nanayo
2012-08-24,Road North
2012-03-29,A Royal Affair
2012-09-21,House at the End of the Street
2012-01-01,Attack of the 50 Foot Cheerleader
1980-11-18,Erotic Nights of the Living Dead
2012-01-17,2-Headed Shark Attack
1951-05-23,"Hard, Fast and Beautiful"
2012-08-28,The Newest Pledge
1978-05-19,Despair
2002-01-01,My Left Eye Sees Ghosts
2012-07-13,2016: Obama's America
2011-09-27,A Happy Event
2011-12-10,Love Lasts Three Years
2011-09-30,Volcano
2011-09-07,Presumed Guilty
2011-11-04,Surviving Progress
1930-08-30,Doughboys
1954-09-01,Tobor the Great
1925-08-23,Lightnin'
2012-03-19,The Tall Man
2012-05-18,Laurence Anyways
2012-07-06,The Magic of Belle Isle
2011-11-18,The Lie
1934-11-23,The Painted Veil
2012-02-10,LOL
1941-11-27,Stormy Waters
1966-12-30,A Report on the Party and the Guests
2012-08-08,The Sapphires
1972-11-01,That Certain Summer
2012-06-15,Something from Nothing: The Art of Rap
2008-03-18,Just Add Water
1967-03-10,The Return of the Prodigal Son
2005-01-01,Hood of the Living Dead
2012-05-17,Rust and Bone
1927-01-30,Upstream
1968-11-09,Genocide
1968-08-14,"Goke, Body Snatcher from Hell"
1968-11-09,The Living Skeleton
1945-01-22,Madonna of the Seven Moons
1943-08-06,The Man in Grey
2012-05-11,Ishaqzaade
2006-10-31,Evil Bong
2012-09-11,Here Comes the Devil
2012-04-16,7 Below
2012-08-24,Kon-Tiki
2012-06-28,Katy Perry: Part of Me
1929-05-27,Broadway
1967-11-27,Viy
1934-01-01,The Rise of Catherine the Great
1977-10-02,Roseland
1958-01-01,The Rusty Knife
1998-01-01,Glorious Technicolor
1998-01-31,Ingmar Bergman on Life and Work
2000-10-23,Lon Chaney: A Thousand Faces
2005-04-27,El tren de la memoria
1933-01-01,The Film Parade
2011-04-01,Rules of Single Life
2007-01-01,Tank on the Moon
1971-10-01,A Safe Place
2011-09-09,Urbanized
1999-10-07,Waco: A New Revelation
1967-04-11,The Cool Ones
1957-11-01,Blood of Dracula
2005-11-22,I'm King Kong!: The Exploits of Merian C. Cooper
1995-08-14,Elia Kazan: A Director's Journey
2003-02-03,The John Garfield Story
2005-10-12,Not Here to Be Loved
2012-11-30,California Solo
2010-10-08,Shameless
2012-09-28,The Marshal of Finland
2012-04-20,Marley
2012-10-04,Frankenweenie
2009-02-03,His Name Was Jason: 30 Years of Friday the 13th
2011-04-09,Colin Quinn: Long Story Short
1992-01-14,Mother
2012-10-05,When Heroes Lie
2012-03-29,Sinister
1998-01-01,Fearful Symmetry
1998-05-27,Louise Brooks: Looking for Lulu
1998-01-01,The Thing: Terror Takes Shape
2002-02-27,Shottas
1959-11-02,Sapphire
2010-09-10,Passion Play
2010-05-18,Virginia
2012-09-20,Hotel Transylvania
2008-08-10,Our City Dreams
2012-08-19,Side by Side
2011-09-02,A Good Old Fashioned Orgy
2000-05-04,Inside: 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb'
2004-10-11,Shadowing the Third Man
1989-11-03,Making 'Do the Right Thing'
2000-04-22,The Young and the Dead
1966-01-01,Daleks' Invasion Earth: 2150 A.D.
2012-10-05,Fat Kid Rules The World
1935-06-04,Charlie Chan in Egypt
1934-09-12,Charlie Chan in London
1990-03-09,Coupe de Ville
1965-12-01,Shakespeare Wallah
1991-09-09,Love in the Time of Hysteria
2008-01-01,We Are From The Future
1961-06-01,Creature from the Haunted Sea
1960-01-27,Take Aim at the Police Van
1958-01-01,The Screaming Skull
1999-01-01,Björk: Volumen
2007-05-19,Madame Tutli-Putli
2012-10-11,Argo
2012-09-07,Seven Psychopaths
2012-10-19,Nobody Walks
2011-09-03,Butter
2012-10-12,Atlas Shrugged Part II
2012-06-06,Ill Manors
2012-09-14,Liberal Arts
1982-10-07,"Ator, the Fighting Eagle"
1998-03-10,The Tattooed Widow
1960-07-27,Portrait in Black
1990-05-17,Vivien Leigh: Scarlett And Beyond
2011-03-04,Under the Boardwalk: The Monopoly Story
2012-06-23,Arachnoquake
2006-04-01,Choking Man
2012-03-21,"Farewell, My Queen"
2011-06-01,Marley & Me: The Puppy Years
2012-10-05,The House I Live In
2012-12-25,West of Memphis
2008-09-26,Boogie Man: The Lee Atwater Story
2012-04-28,Thermae Romae
2011-05-12,Michael
2009-11-06,Kings of Pastry
1962-12-03,The Reluctant Saint
1939-05-26,The Gorilla
2011-04-29,Hoodwinked Too! Hood VS. Evil
1967-02-18,Thirst for Love
2010-01-23,Drones
2011-12-08,Catch.44
1980-11-01,The Return of Frank Cannon
1950-12-12,The Sound of Fury
2012-09-06,The Letter
1968-03-30,Three Resurrected Drunkards
1950-02-11,Tormento
1942-12-05,Les Visiteurs du Soir
1963-01-01,Ingmar Bergman Makes a Movie
1997-11-01,Eastwood on Eastwood
1986-01-01,The Ernest Film Festival
2002-08-19,The Secret Life of Zoey
2007-01-01,Moebius Redux: A Life in Pictures
2010-02-05,Tony
2010-02-05,Dive!
2010-08-25,The Clink of Ice
1960-09-03,The Warped Ones
2009-09-19,16 to Life
2012-09-20,How to Survive a Plague
2012-03-30,[REC]³ Genesis
1940-06-14,Four Sons
2012-06-22,Gangs of Wasseypur
2012-09-06,Greystone Park
2009-07-02,Last Ride
2012-05-11,Girl in Progress
2012-10-17,Astérix and Obélix: God Save Britannia
1951-04-12,Lightning Strikes Twice
1951-04-25,My Forbidden Past
2012-05-14,56 Up
2006-05-28,King Leopold's Ghost
1943-11-27,Around the World
1994-11-18,Turkish Passion
2006-04-03,Un Dimanche à Kigali
2012-01-20,We Are Legion: The Story of the Hacktivists
2012-09-28,The Barrens
2012-01-02,Transit
2008-04-30,Love Me No More
2012-10-17,Paranormal Activity 4
2012-05-07,You Are God
1984-04-06,Where the Boys Are '84
2011-09-15,Skyscraper
2012-09-27,Tai Chi Zero
1955-04-06,The White Angel
1967-03-25,The X from Outer Space
2012-08-03,The Babymakers
2011-10-15,Rosewood Lane
2003-10-14,The Glamorous Life of Sachiko Hanai
1977-09-18,The Strange Case of the End of Civilization as We Know It
1994-11-01,A Feast At Midnight
2002-01-23,Tom & Thomas
2012-10-12,"3, 2, 1... Frankie Go Boom"
2012-10-18,Alex Cross
2011-10-05,The Ambassador
2012-10-26,Cloud Atlas
1993-03-26,"Luck, Trust & Ketchup: Robert Altman in Carver Country"
2004-01-01,Hellboy: The Seeds of Creation
2005-12-02,Budd Boetticher: A Man Can Do That
2005-04-21,Rx (Simple Lies)
2011-06-13,Terry Pratchett: Choosing to Die
2010-05-24,ReGeneration
2011-09-28,Free Men
2012-10-22,The Girl
2012-08-15,This Ain’t California
2012-05-11,Steve Jobs: The Lost Interview
2007-01-01,Rolling
2012-10-10,Silent Hill: Revelation 3D
1993-01-01,Warren Oates: Across the Border
2000-01-01,Step Up Love Story
1981-05-01,Graduation Day
2008-03-25,April Fool's Day
1949-12-24,Holiday Affair
2009-02-05,Like Dandelion Dust
2012-10-10,Men Do what Men Can
2011-10-21,Stockholm East
2010-01-21,The Woman Who Dreamed of a Man
2009-09-14,Beware the Moon: Remembering 'An American Werewolf in London'
1985-05-03,Pumping Iron II: The Women
1954-04-15,Witness to Murder
1919-05-17,The Busher
2011-07-15,The Piano in a Factory
2012-09-08,The Patience Stone
1990-01-01,Hamoun
2012-10-25,Chasing Mavericks
2012-08-02,Craigslist Joe
2012-10-11,Here Comes the Boom
2002-07-02,The Men Who Made the Movies: Samuel Fuller
1997-01-01,Search for the Beast
1981-01-01,Victor Seastrom
1995-01-19,Night of the Running Man
1999-01-01,Hitman's Run
2012-10-04,Mental
2012-09-20,Killing Them Softly
2012-07-13,The Imposter
2012-09-28,The Other Dream Team
2012-05-02,The Sessions
2002-03-23,Living with the Fosters
2001-01-01,Lana Turner... a Daughter's Memoir
1995-01-01,Making the Earth Stand Still
1941-12-25,Remember the Day
1963-02-13,A Child Is Waiting
2010-03-22,Salvage
1969-06-23,Submarine X-1
2011-11-18,Rid Of Me
2012-09-09,What Richard Did
1996-11-15,Kounterfeit
1987-01-01,Watch the Shadows Dance
2012-09-12,Smashed
2009-11-06,Splinterheads
2007-09-11,The Babysitters
2008-03-31,The Juche Idea
2012-11-01,Wreck-It Ralph
1982-10-08,Lookin' to Get Out
1999-11-17,Diplomatic Siege
2012-09-08,Silver Linings Playbook
2012-11-02,Flight
2011-11-23,Five Broken Cameras
2012-09-06,Anna Karenina
2012-11-20,Life of Pi
1939-06-30,The Saint In London
2011-09-15,The Day
2007-04-09,Two Days In April
2012-11-02,The Man with the Iron Fists
2011-08-08,Back to Stay
1975-01-01,Gable: The King Remembered
2012-09-12,Excision
2012-04-02,The Other Son
2012-09-05,Bait
2012-10-27,Gallowwalkers
2009-01-19,Rosencrantz and Guildenstern Are Undead
1997-04-13,Mother Knows Best
1971-07-21,Wake in Fright
2012-09-28,Won't Back Down
2012-09-13,The Bay
2011-07-07,Union Square
2012-09-28,The Hypnotist
2012-10-19,Student of the Year
2011-09-22,"Madrid, 1987"
2005-10-25,Single White Female 2: The Psycho
1940-09-01,One Man's Fate
2012-11-02,The Details
2012-11-02,Jack & Diane
2012-11-02,A Late Quartet
2007-08-18,Vexille
2011-11-14,Sleepless Night
1934-09-14,The Age of Innocence
2002-06-09,Atomic Twister
2000-01-01,Bear with Me
2001-06-11,Children of the Living Dead
2011-11-30,The Lady
2002-01-01,The Rutles 2: Can't Buy Me Lunch
1959-08-01,Fate of a Man
2009-01-28,All About Actresses
2009-01-01,Goal! III : Taking On The World
2012-05-17,Stolen
2012-07-01,Amour
2012-06-12,Something's Gonna Live
2011-09-06,Himizu
2012-10-19,Brooklyn Castle
2011-04-19,The Well Digger's Daughter
1970-12-18,The Ambush: Incident at Blood Pass
2004-05-26,Jiang Hu
2003-11-30,I Accuse
1976-09-17,Death Weekend
2007-06-19,H.P. Lovecraft's The Tomb
2011-08-03,Jackass 3.5
2009-07-19,Labor Pains
2012-08-31,Cockneys vs Zombies
2012-01-21,28 Hotel Rooms
2012-07-11,Citadel
2012-09-27,Dangerous Liaisons
1982-09-01,Blood Tide
2012-01-17,The Scorpion King 3: Battle for Redemption
1999-03-12,Wishmaster 2: Evil Never Dies
2012-05-18,Indie Game: The Movie
2012-09-06,"Batman: The Dark Knight Returns, Part 1"
2012-11-14,Capital
2009-11-19,Beloved Berlin Wall
2010-06-04,Meet Monica Velour
2011-02-24,Thurgood
2004-03-01,The Conscientious Objector
2010-11-03,Kill Me Please
2012-11-09,Lincoln
2012-11-09,Nature Calls
1934-12-08,Babbitt
2010-03-21,In Their Sleep
2011-06-01,Requiem for a Killer
1926-03-13,La Bohème
1988-05-08,The Caine Mutiny Court-Martial
2012-08-25,Vamps
1961-10-01,Cash on Demand
2012-01-01,The Naughty Room
2011-09-06,The Moth Diaries
2011-06-01,Joe + Belle
2012-01-20,The Invisible War
2012-09-28,OMG: Oh My God!
1970-08-28,The Strawberry Statement
2012-11-13,The Twilight Saga: Breaking Dawn - Part 2
2012-03-09,Shakespeare High
1925-09-22,The Circle
2011-11-28,A Holiday Engagement
2006-04-14,The Tiger Brigades
1973-02-22,The Year 01
1982-11-02,Walter
2011-09-12,10 Years
2012-11-16,Price Check
2012-11-21,Red Dawn
2011-11-03,Starry Starry Night
2012-11-21,Rise of the Guardians
1953-10-15,The Seafarers
1961-02-27,The Counterfeiters of Paris
2008-01-26,Kabei: Our Mother
1969-03-01,Samurai Banners
1975-11-21,Murder on Flight 502
2011-06-07,Amor?
2004-12-12,The Last Trapper
1998-10-07,Le Poulpe
2006-04-05,Locked Out
2012-06-07,A Fantastic Fear of Everything
1937-02-25,Fire Over England
1934-06-02,Fog Over Frisco
1959-07-17,Ten Seconds to Hell
2012-06-29,Storage 24
2010-01-01,Tokio Baby
2012-11-08,Deadfall
2008-11-09,Skirt Day
1932-04-30,So Big!
1937-07-03,The Singing Marine
1954-01-29,The Great Diamond Robbery
1946-06-06,Two Sisters From Boston
1962-10-02,The Quare Fellow
2011-08-27,Chronicle of My Mother
2006-08-15,"Moral Tales, Filmic Issues"
2008-01-01,97 Percent True
2004-09-17,Les modèles de 'Pickpocket'
1999-03-26,The Confession
1952-07-01,Lovely to Look At
1951-06-29,Excuse My Dust
1950-12-11,Watch the Birdie
2011-11-19,Putin’s Kiss
2008-09-26,Journey to Saturn
2012-09-09,Byzantium
2012-01-20,Buzzkill
2011-04-30,The Perfect Family
2012-10-05,Halo 4: Forward Unto Dawn
2012-07-26,Step Up Revolution
1950-04-07,The Yellow Cab Man
2010-11-25,Four More Years
2011-10-18,Hellraiser: Revelations
2003-01-01,Welcome to Sherwood! The Story of 'The Adventures of Robin Hood'
1997-03-26,Jungle de Ikou
2006-01-01,Making 'The New World'
1958-12-01,The Lost Missile
2006-06-13,Nightmare Man
1947-07-18,Cry Wolf
2012-11-10,Imaginaerum
2010-10-01,Hold Up
2010-09-04,Tarda estate
2001-01-20,Raw Deal: A Question Of Consent
2005-12-13,Budd Boetticher: An American Original
1998-10-10,The Footprints of a Spirit
1974-01-01,James Dean Remembered
2003-05-24,Our Town
1933-06-29,Bed of Roses
2011-10-14,Division III: Football's Finest
1938-03-18,Rebecca of Sunnybrook Farm
2002-01-14,Mark Twain
2010-10-15,DMT: The Spirit Molecule
2012-07-03,Mac & Devin Go to High School
2011-09-28,A Burning Hot Summer
1949-11-25,A Kiss for Corliss
1949-04-19,Adventure in Baltimore
1934-06-30,Baby Take a Bow
1980-02-27,The Tempest
1976-07-08,New Fist of Fury
1976-08-21,The Killer Meteors
1976-10-10,Shaolin Wooden Men
1977-01-01,The 36 Crazy Fists
1965-11-17,The Sleeping Car Murder
1966-04-20,Let's Not Get Angry
1979-02-14,Hothead
2011-07-22,Poolboy - Drowning Out the Fury
2010-12-17,The Poll Diaries
2012-11-09,Aftermath
2012-11-02,Paperman
1977-07-22,To Kill with Intrigue
1978-04-27,Magnificent Bodyguards
1979-02-17,Fearless Hyena
1979-04-21,Dragon Fist
1978-06-30,Half a Loaf of Kung Fu
2006-05-23,We Should Not Exist
2009-04-08,Erreur de la banque en votre faveur
2005-12-07,Kirikou and the Wild Beasts
1985-10-26,The Statue of Liberty
2005-03-10,Slingshot
1982-05-24,Brooklyn Bridge
1993-07-20,Arcade
1971-10-03,Jude the Obscure
2008-10-25,Paramore: The Final Riot!
2012-04-12,Bad Ass
2009-11-27,Nativity!
2012-09-06,A Christmas Story 2
2010-02-13,Elevator Girl
1983-02-13,Fantasy Mission Force
1983-03-04,Fearless Hyena Part II
2011-01-01,Recoil
2008-01-26,Ghost Voyage
2011-09-13,"Peace, Love & Misunderstanding"
2013-05-16,The Congress
1991-05-11,Fever
2012-09-21,Made in Mexico
2012-11-22,Hitchcock
2012-02-11,Caesar Must Die
1992-10-13,Interceptor
1973-01-01,Now Where Did the Seventh Company Get to?
2004-06-30,Other Worlds
1977-12-14,Peppermint Soda
1988-01-01,American Roulette
2011-07-16,From Up on Poppy Hill
2009-08-14,Redline
1947-05-17,Honeymoon
1938-11-11,Just Around the Corner
1941-12-18,Kathleen
1991-03-21,Burn Up!
1984-05-27,Lulu in Berlin
1994-01-01,The time and patience
2010-02-18,Welcome to the Space Show
1983-01-01,Winners & Sinners
2010-03-13,Barry Munday
2012-09-07,Purge
2011-09-08,The Day He Arrives
1985-02-10,My Lucky Stars
1985-08-15,"Twinkle, Twinkle, Lucky Stars"
1996-11-09,Kiss and Tell
2001-04-18,"Oui, mais..."
1982-07-03,Space Adventure Cobra
1972-05-04,L'aventure c'est l'aventure
1999-12-12,A Season for Miracles
2011-07-03,1911
2009-07-03,Looking for Jackie
1982-01-21,The Shaolin Temple
1984-01-26,Shaolin Temple 2: Kids from Shaolin
2012-01-20,Carol Channing: Larger Than Life
2006-11-01,Memory
1986-03-01,Martial Arts of Shaolin
2011-12-10,Snowmageddon
1939-01-06,Stand Up and Fight
2001-01-09,Jazz
2012-03-08,Barbara
2012-09-08,A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman
1938-07-29,Little Miss Broadway
1942-05-29,Miss Annie Rooney
1949-04-15,Mr. Belvedere Goes to College
2012-11-26,The Hobbit: An Unexpected Journey
2001-01-01,Mon Paradis - Der Winterpalast
2009-01-01,No Flesh Shall Be Spared
2008-01-01,I am Von Höfler Variation on Werther
1986-02-16,Born to Defend
1989-09-01,Dragon Fight
1992-05-29,The Master
1993-12-18,Kung Fu Cult Master
2012-09-09,The Fitzgerald Family Christmas
2012-12-07,Hyde Park on Hudson
2012-06-22,Lay the Favorite
1964-02-28,Audition/Talent Competition
2009-05-15,All's Faire in Love
2012-05-18,Crooked Arrows
1995-03-02,The Enforcer
1996-02-10,Dr. Wai in the Scriptures with No Words
1997-02-01,Once Upon a Time in China and America
1998-04-03,Contract Killer
1981-03-04,The Executor
2005-09-28,Never Say... Never!
1976-02-11,Calmos
2010-07-13,How to Make Love to a Woman
2012-01-27,"After Fall, Winter"
2011-08-11,Violeta Went to Heaven
2011-11-16,Rebellion
2008-05-19,Versailles
2010-05-19,Two in the Wave
2001-11-19,Lotte Reiniger: Homage to the Inventor of the Silhouette Film
2005-10-23,"RKO Production 601: The Making of 'Kong, the Eighth Wonder of the World'"
2012-05-16,Yossi
2006-07-10,"All Blossoms Again: Pedro Costa, Director"
2011-10-28,The Last Rites of Joe May
1986-09-24,100 Ways to Murder Your Wife
1955-05-06,The Prodigal
2008-01-01,The Eleventh Hour
2012-09-14,Barfi
2000-09-05,Federico Fellini's Autobiography
2012-12-19,Zero Dark Thirty
2012-02-01,Neighboring Sounds
2012-01-01,Consuming Spirits
2012-10-01,Chasing Ice
2012-09-19,Antiviral
1896-01-25,The Arrival of a Train at La Ciotat
2004-09-17,Adventures of Arsene Lupin
1995-12-13,The Three Brothers
2009-02-01,Ghost Machine
2012-12-18,Freeloaders
1968-06-01,The Immortal Story
1978-07-10,Filming Othello
2011-10-23,The Woodsman and the Rain
2012-08-31,Fire with Fire
2013-01-31,Warm Bodies
2007-07-13,The Gay Bed and Breakfast of Terror
2007-03-15,Dororo
2012-12-14,Let Fury Have the Hour
2011-09-12,Asylum Blackout
1995-03-08,Fresh Bait
2003-04-02,Frenchmen
2012-09-05,Wrong
2012-03-29,Young & Wild
2011-09-08,Trishna
2010-07-22,Aftershock
2012-10-02,Chained
2004-01-16,The Goodbye Girl
2005-06-08,The Ring Finger
1970-06-10,"Count Yorga, Vampire"
2012-11-09,The Comedy
2011-02-18,7 Khoon Maaf
2006-01-20,The Red Shoes
1972-09-01,Bluebeard
1935-01-01,Our Little Girl
2012-11-29,Playing for Keeps
1936-07-24,Poor Little Rich Girl
2008-06-11,Skate Or Die
2008-01-19,Negative Happy Chain Saw Edge
1987-05-05,Stevie Nicks: Live at Red Rocks
2012-12-19,The Guilt Trip
1968-06-21,The Girl on a Motorcycle
2012-12-14,Save the Date
2012-12-20,Jack Reacher
2012-12-25,Django Unchained
2012-12-20,This Is 40
1993-01-01,The Monster
1990-07-06,I Bought a Vampire Motorcycle
1971-07-30,Willard
1984-06-16,The Public Woman
1968-05-25,Ohyaku: The Female Demon
1995-05-09,Ice Cream Man
2012-11-09,Cirque du Soleil: Worlds Away
2012-09-09,The Impossible
1964-12-28,A Carol for Another Christmas
2012-12-18,Les Misérables
1977-01-21,Gestapo's Last Orgy
2012-04-27,Mamitas
1967-09-28,The Bobo
2012-04-20,Struck by Lightning
2012-12-23,Minecraft: The Story of Mojang
2005-03-20,Spring Break Shark Attack
1997-05-16,Campfire Tales
1960-09-25,Seven Ways from Sundown
2010-01-19,Aziz Ansari: Intimate Moments for a Sensual Evening
2012-12-21,Not Fade Away
2012-09-08,Quartet
2012-11-30,Silent Night
2009-12-30,The Turn of the Screw
2008-10-15,"Coluche, l'histoire d'un mec"
1999-01-20,Les parasites
1941-06-19,The Reluctant Dragon
2010-11-05,A Marine Story
1979-05-01,Malibu High
1975-03-17,The Softening of the Egg
1966-08-26,Who Wants To Kill Jessie?
2011-08-26,Jerusalem Countdown
1934-05-04,Stand Up and Cheer!
1936-12-25,Stowaway
1939-06-13,Susannah of the Mounties
2011-09-11,11 Flowers
2005-04-13,In Your Dreams
2005-01-01,The Willow Tree
2012-10-14,Would You Rather
2012-06-20,Kumaré
1979-03-03,Lady Oscar
1947-11-01,That Hagen Girl
2006-12-12,Holiday Wishes
2012-10-25,Maximum Conviction
2011-09-07,The Eye of the Storm
1992-04-22,976-Evil II
1990-05-04,Xtro 2: The Second Encounter
1995-11-14,Xtro 3: Watch the Skies
2014-10-10,Addicted
1956-07-12,Foreign Intrigue
1999-11-24,Harem suare
2010-12-31,"Glenn, the Flying Robot"
2012-02-11,Kevin Smith: Burn in Hell
1989-06-22,Slipstream
2011-01-19,The Woodmans
2012-10-03,3 Zimmer/Küche/Bad
2007-12-09,Holiday in Handcuffs
2010-06-06,Camp Rock 2: The Final Jam
2010-05-19,StreetDance 3D
1983-06-10,The New Barbarians
2011-11-18,How To Stop Being A Loser
2010-09-23,Transfer
2003-11-23,Holiday Reunion
1969-02-07,A Time of Roses
1995-04-21,Lipton Cockton in the Shadows of Sodoma
2009-07-31,A Midsummer of Love
2011-09-04,Alois Nebel
2011-10-14,Juan of the Dead
2012-12-25,Parental Guidance
2012-04-20,Sexy Baby
2011-01-05,Snow on tha Bluff
2012-01-23,John Dies at the End
2010-04-23,Vidal Sassoon: The Movie
2011-04-08,Born to Be Wild
1948-07-24,Blonde Ice
2011-09-23,Ultrasuede: In Search of Halston
2011-11-30,Trek Nation
2012-06-01,Sun Kissed
2011-06-22,Chely Wright: Wish Me Away
2012-05-24,The Central Park Five
2012-09-21,The Collection
2008-11-08,The Cherry Orchard: Blossoming
2012-09-24,FDR: American Badass!
2011-10-26,All Superheroes Must Die
1993-11-17,Jean Renoir: Part One - From La Belle Époque to World War II
2012-04-27,Booker's Place: A Mississippi Story
2011-12-08,Girl Walk // All Day
2011-10-14,Las Acacias
2001-09-10,Just Ask My Children
1986-06-13,Never Too Young to Die
2007-06-10,Remember the Daze
2012-12-07,Waiting for Lightning
1959-09-10,Yesterday's Enemy
1940-08-30,Young People
2010-03-31,Henry
2004-03-01,L'incruste
2009-11-25,The Villain
2012-06-07,Soldiers of Fortune
2012-08-25,Rurouni Kenshin
2000-09-03,Les Misérables
2012-03-10,Extracted
2008-01-01,Stevie
2012-05-18,Mansome
1958-03-11,Les Misérables
1952-08-14,Les Miserables
1942-08-13,The Big Street
2002-12-14,The True Meaning of Christmas Specials
2001-01-01,Great Escape: The Untold Story
1975-05-24,Kenji Mizoguchi: The Life of a Film Director
2010-11-12,Cornelis
2012-09-23,Promised Land
2005-01-01,Neo Ned
2012-08-08,Offender
1974-01-01,Confessions of a Window Cleaner
1970-02-18,The Man Who Haunted Himself
2008-01-01,Dakota Skye
1991-09-23,A Demon in My View
2010-05-12,The Immaculate Conception of Little Dizzle
2011-04-01,Judas Kiss
1975-01-01,Confessions of a Pop Performer
2011-06-20,Private Romeo
2010-06-03,Role/Play
2009-11-01,I Know What I Saw
2012-09-11,The Sweeney
2012-09-14,English Vinglish
2009-03-20,Fish Story
2008-08-17,Comedy Central Roast of Bob Saget
1992-03-11,Tiny Toon Adventures: How I Spent My Vacation
2005-11-01,Trapped in the Closet: Chapters 1-12
1947-04-25,The Sea of Grass
1972-02-02,The Visitors
2012-12-26,The Man Who Laughs
2012-10-12,Excuse Me for Living
1994-01-01,Aftermath
1972-01-01,Fragments of an Alms-Film
1984-08-02,Manuel on the Island of Wonders
2012-10-05,Eat Sleep Die
2007-06-29,Dr. Bronner's Magic Soapbox
2011-11-14,"Guns, Girls and Gambling"
2012-11-29,A Dark Truth
1999-01-01,A Conversation with Gregory Peck
2006-11-06,Odette Toulemonde
2009-08-01,Mein Kampf
2012-10-12,Pusher
2003-05-04,Lucy
2011-05-01,The Hollywood Complex
2011-04-16,The Shunning
1933-07-15,She Had to Say Yes
2011-05-03,Leave
2013-01-03,Texas Chainsaw 3D
2013-03-15,K-11
2012-11-28,Ex-Girlfriends
2013-01-10,Gangster Squad
2012-12-21,Dabangg 2
2006-05-18,The Marsh
2001-09-28,Road to Redemption
2002-01-01,The Climb
1984-09-07,The Warrior and the Sorceress
2012-09-06,The Company You Keep
2011-10-01,The Trouble with Bliss
2012-03-02,The Samaritan
2011-06-13,I Got Next
2012-09-01,The Iceman
2010-09-10,Behind Blue Skies
1987-01-01,Mad Ron's Prevues from Hell
1998-01-09,T.N.T.
2010-01-22,Secrets of the Tribe
2012-10-05,It's Such a Beautiful Day
2007-01-01,Kiss the Bride
2013-01-11,A Haunted House
2010-06-30,Sinners and Saints
1998-04-26,Painted Lady
2011-09-09,Whores' Glory
2012-04-20,Somewhere in Palilula
2010-04-20,A Fork in the Road
2011-03-20,Planet of Snail
2012-09-26,The Waiting Room
2012-11-28,Beware of Mr. Baker
2013-01-18,"Batman: The Dark Knight Returns, Part 2"
1984-03-04,Alphabet City
2012-09-12,Beyond the Hills
2011-07-16,Pokémon the Movie Black: Victini and Reshiram
2011-07-16,Pokémon the Movie White: Victini and Zekrom
2010-02-16,Cleanflix
2009-05-17,The Unloved
1965-10-26,The Hand
2011-09-11,Paul Williams Still Alive
2012-02-13,Sister
2012-11-16,Mea Maxima Culpa: Silence in the House of God
2012-10-05,Everything or Nothing
1977-12-28,Grayeagle
2012-01-06,Codependent Lesbian Space Alien Seeks Same
1973-02-14,The World's Greatest Athlete
2005-02-20,Jesse Stone: Stone Cold
2006-04-30,Jesse Stone: Death in Paradise
2007-05-22,Jesse Stone: Sea Change
2011-10-17,Cargo
2010-05-09,Jesse Stone: No Remorse
2011-05-21,Jesse Stone: Innocents Lost
2012-05-19,Jesse Stone: Benefit of the Doubt
2012-09-21,Diana Vreeland: The Eye Has to Travel
2007-10-05,Padre nuestro
